dataset_id,subject,raw_file,window_seconds,window_index,start_seconds,task_condition,task_annotation,trained_on_dataset,assigned_state,posterior_confidence,log_likelihood,low_confidence_unknown
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,4,0,0.0,eyes_open_rest,T0,ds005284,2,0.9999996232841964,-58.109465907123656,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,4,1,4.0,eyes_open_rest,T0,ds005284,2,0.9999999999925393,-48.78930769414054,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,4,2,8.0,eyes_open_rest,T0,ds005284,0,0.9999990939399109,-55.257339811124304,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,4,3,12.0,eyes_open_rest,T0,ds005284,2,0.997308784411394,-65.65531439103577,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,4,4,16.0,eyes_open_rest,T0,ds005284,2,0.9999999999966676,-50.2869943903233,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,4,5,20.0,eyes_open_rest,T0,ds005284,2,0.9999999999999574,-56.50790110536585,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,4,6,24.0,eyes_open_rest,T0,ds005284,2,0.9980278555335182,-74.37182586844683,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,4,7,28.0,eyes_open_rest,T0,ds005284,2,0.9999999993255244,-64.33862242450519,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,4,8,32.0,eyes_open_rest,T0,ds005284,2,0.9994805532583896,-62.69966285358822,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,4,9,36.0,eyes_open_rest,T0,ds005284,0,1.0,-46.211010012469615,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,4,10,40.0,eyes_open_rest,T0,ds005284,0,0.999999999999929,-51.12083167363562,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,4,11,44.0,eyes_open_rest,T0,ds005284,2,0.9999999486964994,-64.27942148855777,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,4,12,48.0,eyes_open_rest,T0,ds005284,2,0.920328538888259,-55.0347591462364,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,4,13,52.0,eyes_open_rest,T0,ds005284,2,0.9999999998539764,-58.83185853208883,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,4,14,56.0,eyes_open_rest,T0,ds005284,2,0.9999974062736741,-64.67056668761444,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,4,0,0.0,eyes_closed_rest,T0,ds005284,0,1.0,-90.37384495003585,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,4,1,4.0,eyes_closed_rest,T0,ds005284,0,0.812407228554962,-101.37777069158433,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,4,2,8.0,eyes_closed_rest,T0,ds005284,0,1.0,-96.4174163287036,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,4,3,12.0,eyes_closed_rest,T0,ds005284,0,1.0,-96.53519454655681,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,4,4,16.0,eyes_closed_rest,T0,ds005284,0,1.0,-100.82242904256752,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,4,5,20.0,eyes_closed_rest,T0,ds005284,0,1.0,-112.787295202885,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,4,6,24.0,eyes_closed_rest,T0,ds005284,0,1.0,-150.29161425467763,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,4,7,28.0,eyes_closed_rest,T0,ds005284,0,1.0,-122.51827558332522,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,4,8,32.0,eyes_closed_rest,T0,ds005284,0,1.0,-108.71566466472795,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,4,9,36.0,eyes_closed_rest,T0,ds005284,0,1.0,-115.4849570226867,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,4,10,40.0,eyes_closed_rest,T0,ds005284,0,1.0,-137.95720185504652,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,4,11,44.0,eyes_closed_rest,T0,ds005284,0,1.0,-127.77693322106668,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,4,12,48.0,eyes_closed_rest,T0,ds005284,0,1.0,-141.38251186735383,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,4,13,52.0,eyes_closed_rest,T0,ds005284,0,1.0,-112.73319177373503,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,4,14,56.0,eyes_closed_rest,T0,ds005284,0,1.0,-123.43800438209996,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,0,0.0,motor_execution,T0,ds005284,0,0.9867084642801368,-48.588990040158095,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,1,4.0,motor_execution,T2,ds005284,0,0.8563790243901879,-45.03635827038707,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,2,8.0,motor_execution,T0,ds005284,2,0.9999988227173271,-62.49182610123277,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,3,12.0,motor_execution,T1,ds005284,2,0.9999999998715765,-55.25302716618088,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,4,16.0,motor_execution,T0,ds005284,2,0.9999999968782944,-52.264386711590426,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,5,20.0,motor_execution,T1,ds005284,2,0.9985745057012428,-54.679331887184055,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,6,24.0,motor_execution,T0,ds005284,2,0.9999999685260978,-60.33599806616319,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,7,28.0,motor_execution,T2,ds005284,2,0.9845062248820259,-67.6970553245336,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,8,32.0,motor_execution,T0,ds005284,2,0.7628283520732337,-63.42406918703682,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,9,36.0,motor_execution,T2,ds005284,0,0.9999999997364313,-48.9750507513137,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,10,40.0,motor_execution,T0,ds005284,2,0.9999999999999858,-61.11145211080861,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,11,44.0,motor_execution,T1,ds005284,0,0.9073410072337386,-57.241291463276404,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,12,48.0,motor_execution,T0,ds005284,2,0.9999999500403701,-46.38807267463671,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,13,52.0,motor_execution,T1,ds005284,0,0.9999972514341778,-51.75231147521211,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,14,56.0,motor_execution,T1,ds005284,2,0.9999996458923933,-66.04171566521165,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,15,60.0,motor_execution,T0,ds005284,0,0.9999999999989129,-48.14850438139634,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,16,64.0,motor_execution,T2,ds005284,2,0.9999999996816769,-49.06610022555077,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,17,68.0,motor_execution,T0,ds005284,0,0.9999999999998437,-66.95368433963965,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,18,72.0,motor_execution,T1,ds005284,0,1.0,-42.4473637384408,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,19,76.0,motor_execution,T0,ds005284,0,0.99751513994,-69.11759638810243,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,20,80.0,motor_execution,T2,ds005284,0,0.9849914925257564,-62.66385547459402,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,21,84.0,motor_execution,T0,ds005284,0,0.9964228934499711,-55.21815616680069,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,22,88.0,motor_execution,T2,ds005284,2,0.9999999999999858,-60.772662418047965,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,23,92.0,motor_execution,T0,ds005284,0,0.9999975256970743,-93.04143550400082,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,24,96.0,motor_execution,T1,ds005284,0,0.9999998648298407,-79.52121726148086,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,25,100.0,motor_execution,T0,ds005284,2,0.9999978913892482,-57.747044938747614,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,26,104.0,motor_execution,T1,ds005284,0,0.9375253556648211,-65.55287264912424,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,27,108.0,motor_execution,T0,ds005284,2,0.9999999999793232,-83.33471894380885,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,28,112.0,motor_execution,T2,ds005284,0,0.9990839513862722,-64.91773689531787,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,29,116.0,motor_execution,T0,ds005284,2,0.9999999998385789,-64.61234973499771,True
eegmmidb,S001,data/eegmmidb/S001/S001R03.edf,4,30,120.0,motor_execution,T1,ds005284,0,0.9957867456312229,-68.2818489171935,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,0,0.0,motor_imagery,T0,ds005284,2,0.9999994289013255,-65.70503059439052,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,1,4.0,motor_imagery,T2,ds005284,2,1.0,-55.957655853561015,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,2,8.0,motor_imagery,T0,ds005284,2,1.0,-61.721484898742254,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,3,12.0,motor_imagery,T1,ds005284,2,1.0,-56.588938171778956,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,4,16.0,motor_imagery,T0,ds005284,0,0.9950889531685368,-61.962489203884864,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,5,20.0,motor_imagery,T1,ds005284,2,0.9999999999999787,-60.176966285843875,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,6,24.0,motor_imagery,T0,ds005284,2,1.0,-60.19217599731359,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,7,28.0,motor_imagery,T2,ds005284,2,0.9999999999999147,-57.736917570438145,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,8,32.0,motor_imagery,T0,ds005284,2,0.9987855167384163,-61.44470089211758,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,9,36.0,motor_imagery,T2,ds005284,2,0.998905849472623,-49.65056891307785,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,10,40.0,motor_imagery,T0,ds005284,2,0.9999999999998863,-54.781937714298536,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,11,44.0,motor_imagery,T1,ds005284,2,1.0,-55.03858378389274,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,12,48.0,motor_imagery,T0,ds005284,2,1.0,-58.89641119999231,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,13,52.0,motor_imagery,T2,ds005284,2,0.9999999935984789,-75.60164238818454,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,14,56.0,motor_imagery,T2,ds005284,2,0.9999999994918625,-57.86697324638268,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,15,60.0,motor_imagery,T0,ds005284,2,0.9999999818397357,-65.2355036222533,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,16,64.0,motor_imagery,T1,ds005284,0,0.639783519781804,-67.02107590140892,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,17,68.0,motor_imagery,T0,ds005284,2,0.9999999999999858,-70.49487300591677,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,18,72.0,motor_imagery,T2,ds005284,2,0.999999993201719,-54.51208768853321,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,19,76.0,motor_imagery,T0,ds005284,2,0.9652258848165366,-70.12525992209459,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,20,80.0,motor_imagery,T1,ds005284,2,0.9999999999997584,-53.855469488985754,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,21,84.0,motor_imagery,T0,ds005284,2,0.9999999999988347,-68.13287379217887,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,22,88.0,motor_imagery,T1,ds005284,2,0.9999999615748798,-57.77015403774229,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,23,92.0,motor_imagery,T0,ds005284,2,0.9999999999999147,-63.750111466676465,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,24,96.0,motor_imagery,T2,ds005284,2,0.999997869230352,-54.43866047064954,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,25,100.0,motor_imagery,T0,ds005284,2,0.9999999999989555,-61.9279981814078,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,26,104.0,motor_imagery,T1,ds005284,2,1.0,-56.37028508407953,True
eegmmidb,S001,data/eegmmidb/S001/S001R04.edf,4,27,108.0,motor_imagery,T0,ds005284,2,0.9999999999999858,-67.54880558383654,True
